Comparison,Load (ρ),t-statistic,p-value,Mean Difference,95% CI Lower,95% CI Upper,Significant
M/M/1 vs SJF,0.7,5.443080379278175,6.626891146943592e-08,1.0335684867166615,0.6609347098198154,1.4062022636135074,True
M/M/2 vs SJF,0.7,-2.526372546290582,0.011726087787864437,-0.35360044194460416,-0.628360508687849,-0.07884037520135934,True
M/M/4 vs SJF,0.7,-7.36304640628084,6.468159341466162e-13,-0.9362186488915514,-1.1859703935768913,-0.6864669042062114,True
M/M/1 vs SJF,0.8,6.707016544881431,3.3228975127030935e-11,2.0032982185900234,1.4171710410716576,2.589425396108389,True
M/M/2 vs SJF,0.8,-0.7174021719892354,0.4733603646519695,-0.1704867509754251,-0.6370516666740862,0.29607816472323595,False
M/M/4 vs SJF,0.8,-5.112515880740856,4.3936298244062755e-07,-1.124704878737803,-1.556828317572643,-0.6925814399029628,True
M/M/1 vs SJF,0.9,7.983887337603693,3.9968028886505635e-15,4.649182256147336,3.5064032592470475,5.791961253047624,True
M/M/2 vs SJF,0.9,1.1966032380296545,0.2318973498181911,0.584353368911481,-0.3745671481514453,1.5432738859744073,False
M/M/4 vs SJF,0.9,-2.9655910523679228,0.0031573911833158164,-1.3676378413471169,-2.273584257938606,-0.46169142475562774,True
M/M/1 vs SJF,0.95,8.724141131311788,0.0,7.365809035643406,5.708817107189088,9.022800964097724,True
M/M/2 vs SJF,0.95,2.2994725896579835,0.021802973025693895,1.668632028513466,0.24364083229626265,3.093623224730669,True
M/M/4 vs SJF,0.95,-1.6642229868905598,0.09665675604584645,-1.151481568840862,-2.5106797657976583,0.2077166281159344,False
